script,output,description,status,returncode,output_path,rows,columns,log_path,message
compile_count.py,CompileCount.csv,Nombre de compilations,ok,0.0,C:\Users\chris\Desktop\Chaine_avec_notebooks (2)\Chaine\csv\CompileCount.csv,131.0,"SubjectID, CompileCount",C:\Users\chris\Desktop\Chaine_avec_notebooks (2)\Chaine\csv\logs\compile_count.log,CSV produit
compil_ratio.py,CompileSuccessRate.csv,Taux de compilations réussies,ok,0.0,C:\Users\chris\Desktop\Chaine_avec_notebooks (2)\Chaine\csv\CompileSuccessRate.csv,131.0,"SubjectID, CompileSuccessRate",C:\Users\chris\Desktop\Chaine_avec_notebooks (2)\Chaine\csv\logs\compil_ratio.log,CSV produit
compile_span.py,CompileSpan.csv,"Durée entre première et dernière compilation, en minutes",ok,0.0,C:\Users\chris\Desktop\Chaine_avec_notebooks (2)\Chaine\csv\CompileSpan.csv,110.0,"SubjectID, CompileSpanMinutes",C:\Users\chris\Desktop\Chaine_avec_notebooks (2)\Chaine\csv\logs\compile_span.log,CSV produit
eq.py,ErrorQuotient.csv,Error Quotient,ok,0.0,C:\Users\chris\Desktop\Chaine_avec_notebooks (2)\Chaine\csv\ErrorQuotient.csv,110.0,"SubjectID, ErrorQuotient",C:\Users\chris\Desktop\Chaine_avec_notebooks (2)\Chaine\csv\logs\eq.log,CSV produit
red.py,RED.csv,Repeated Error Density,ok,0.0,C:\Users\chris\Desktop\Chaine_avec_notebooks (2)\Chaine\csv\RED.csv,110.0,"SubjectID, RED",C:\Users\chris\Desktop\Chaine_avec_notebooks (2)\Chaine\csv\logs\red.log,CSV produit
watwin.py,Watwin.csv,WatWin,skipped_missing_columns,,C:\Users\chris\Desktop\Chaine_avec_notebooks (2)\Chaine\csv\Watwin.csv,,,C:\Users\chris\Desktop\Chaine_avec_notebooks (2)\Chaine\csv\logs\watwin.log,Colonnes manquantes : ['SourceLocation']
session_count.py,SessionCount.csv,Nombre de sessions par étudiant,ok,0.0,C:\Users\chris\Desktop\Chaine_avec_notebooks (2)\Chaine\csv\SessionCount.csv,131.0,"SubjectID, SessionCount",C:\Users\chris\Desktop\Chaine_avec_notebooks (2)\Chaine\csv\logs\session_count.log,CSV produit
frac_long.py,FracLong.csv,Fraction de pauses longues entre compilations,ok,0.0,C:\Users\chris\Desktop\Chaine_avec_notebooks (2)\Chaine\csv\FracLong.csv,121.0,"SubjectID, FracLong",C:\Users\chris\Desktop\Chaine_avec_notebooks (2)\Chaine\csv\logs\frac_long.log,CSV produit
mean_test_score.py,MeanTestScore.csv,Score moyen des tests,ok,0.0,C:\Users\chris\Desktop\Chaine_avec_notebooks (2)\Chaine\csv\MeanTestScore.csv,131.0,"SubjectID, MeanTestScore",C:\Users\chris\Desktop\Chaine_avec_notebooks (2)\Chaine\csv\logs\mean_test_score.log,CSV produit
first_compile_vs_global_first.py,FirstCompileVsGlobalFirst.csv,Minutes entre la première compilation globale et la première compilation de l'étudiant,ok,0.0,C:\Users\chris\Desktop\Chaine_avec_notebooks (2)\Chaine\csv\FirstCompileVsGlobalFirst.csv,110.0,"SubjectID, MinutesFromGlobalFirstCompile",C:\Users\chris\Desktop\Chaine_avec_notebooks (2)\Chaine\csv\logs\first_compile_vs_global_first.log,CSV produit
last_compile_vs_global_last.py,LastCompileVsGlobalLast.csv,Minutes entre la dernière compilation de l'étudiant et la dernière compilation globale,ok,0.0,C:\Users\chris\Desktop\Chaine_avec_notebooks (2)\Chaine\csv\LastCompileVsGlobalLast.csv,110.0,"SubjectID, MinutesToGlobalLastCompile",C:\Users\chris\Desktop\Chaine_avec_notebooks (2)\Chaine\csv\logs\last_compile_vs_global_last.log,CSV produit
time_to_score1.py,TimeToScore1.csv,Temps jusqu'au premier score égal à 1,ok,0.0,C:\Users\chris\Desktop\Chaine_avec_notebooks (2)\Chaine\csv\TimeToScore1.csv,110.0,"SubjectID, MinutesToScore1",C:\Users\chris\Desktop\Chaine_avec_notebooks (2)\Chaine\csv\logs\time_to_score1.log,CSV produit
